               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.034393,            0.044781,            0.008899,             0.90283,             0.76164,             0.82961,             0.45368,            0.041292,            0.038113,            0.011227,            0.070484,           0.0032796,           0.0032796
                   1,            0.038879,            0.046491,           0.0094197,             0.86644,             0.75905,             0.81375,             0.39557,            0.046534,            0.038163,            0.011882,            0.039829,           0.0059582,           0.0059582
                   2,            0.042664,            0.048089,            0.010308,              0.6559,             0.70574,             0.67148,             0.25896,            0.054256,            0.038253,            0.012213,           0.0085145,           0.0079769,           0.0079769
                   3,             0.04212,            0.047657,           0.0099576,              0.8551,              0.7402,             0.79919,             0.36255,            0.048035,            0.038274,             0.01193,             0.00703,             0.00703,             0.00703
                   4,            0.042283,            0.047907,           0.0097381,             0.89022,             0.75861,             0.82553,             0.40576,            0.045694,            0.038347,            0.011571,             0.00703,             0.00703,             0.00703
                   5,            0.039288,            0.045907,           0.0094643,             0.85871,             0.75003,              0.8028,              0.3718,            0.046829,            0.038951,            0.011419,             0.00604,             0.00604,             0.00604
                   6,            0.037318,            0.045933,            0.008714,             0.88628,             0.75949,             0.81546,             0.41302,            0.043846,            0.038982,            0.011125,             0.00505,             0.00505,             0.00505
                   7,            0.035811,            0.043909,           0.0083283,             0.89988,              0.7738,             0.83708,             0.43946,            0.042582,            0.038712,            0.010793,             0.00406,             0.00406,             0.00406
                   8,            0.035017,            0.044886,           0.0081945,             0.88996,             0.77568,              0.8281,             0.43606,            0.042356,            0.039383,            0.010945,             0.00307,             0.00307,             0.00307
                   9,            0.033949,            0.042869,           0.0078184,             0.88514,             0.77176,             0.82789,              0.4463,            0.041635,            0.039284,            0.011322,             0.00208,             0.00208,             0.00208
